Temp,RelHumid,WindSpd,TotalRain,RegionBejaia,FireWthrInd,FireNumb
29,57,18,0,1,0.5,0
29,61,13,1.3,1,0.4,0
26,82,22,13.1,1,0.1,0
25,89,13,2.5,1,0,0
27,77,16,0,1,0.5,0
31,67,14,0,1,2.5,1
33,54,13,0,1,7.2,1
30,73,15,0,1,7.1,1
25,88,13,0.2,1,0.3,0
28,79,12,0,1,0.9,0
31,65,14,0,1,5.6,1
26,81,19,0,1,7.1,1
27,84,21,1.2,1,0.2,0
30,78,20,0.5,1,0.4,0
28,80,17,3.1,1,0.1,0
29,89,13,0.7,1,0,0
30,89,16,0.6,1,0,0
31,78,14,0.3,1,0.2,0
31,55,16,0.1,1,1.4,0
30,80,16,0.4,1,0.4,0
30,78,14,0,1,2.2,1
31,67,17,0.1,1,2.3,0
32,62,18,0.1,1,3.8,1
32,66,17,0,1,7.5,1
31,64,15,0,1,8.4,1
31,64,18,0,1,10.6,1
34,53,18,0,1,15,1
32,55,14,0,1,13.9,1
32,47,13,0.3,1,3.9,0
33,50,14,0,1,12.9,1
29,68,19,1,1,0.4,0
27,75,19,1.2,1,0.3,0
32,76,20,0.7,1,0.5,0
33,78,17,0,1,1.7,0
33,66,14,0,1,4.9,1
32,63,14,0,1,6.8,1
35,64,18,0.2,1,3.2,0
33,68,19,0,1,8,1
32,68,14,1.4,1,0.6,0
33,69,13,0.7,1,0.5,0
33,76,14,0,1,2.2,0
31,75,13,0.1,1,0.9,0
34,81,15,0,1,3.4,0
34,61,13,0.6,1,0.8,0
30,80,19,0.4,1,0.5,0
28,76,21,0,1,0.4,0
29,70,14,0,1,3.6,1
31,68,14,0,1,6,1
35,59,17,0,1,10.9,1
33,65,15,0.1,1,4,1
33,70,17,0,1,8.8,1
28,79,18,0.1,1,2.8,0
27,66,22,0.4,1,2.1,0
28,78,16,0.1,1,1.3,0
31,65,18,0,1,7.3,1
36,53,19,0,1,15.3,1
36,48,13,0,1,15.3,1
33,76,15,0,1,11.3,1
32,73,15,0,1,11.9,1
31,79,15,0,1,10.7,1
35,64,17,0,1,15.7,1
36,45,14,0,1,0.9,0
35,55,12,0.4,1,0.8,0
35,63,14,0.3,1,0.8,0
34,69,13,0,1,3.9,1
34,65,13,0,1,6.1,1
32,75,14,0,1,6.8,1
32,69,16,0,1,8,1
32,60,18,0.3,1,2.6,0
35,59,17,0,1,9.9,1
35,55,14,0,1,11.6,1
35,63,13,0,1,12.1,1
35,51,13,0.3,1,4.2,0
35,63,15,0,1,10.2,1
33,66,14,0,1,10.6,1
36,55,13,0.3,1,6.3,1
36,61,18,0.3,1,4.2,1
37,52,18,0,1,14.6,1
36,54,18,0,1,16.1,1
35,62,19,0,1,17.2,1
35,68,19,0,1,16.8,1
36,58,19,0,1,18.4,1
36,55,18,0,1,20.4,1
36,53,16,0,1,22.3,1
34,64,14,0,1,20.9,1
35,60,15,0,1,20.3,1
31,78,18,0,1,13.7,1
33,82,21,0,1,13.2,1
34,64,16,0,1,19.9,1
35,48,18,0,1,30.2,1
35,70,17,0.8,1,4.2,0
28,80,21,16.8,1,0.3,0
25,76,17,7.2,1,0.1,0
22,86,15,10.1,1,0,0
25,78,15,3.8,1,0,0
29,73,17,0.1,1,0.5,0
29,75,16,0,1,1.7,1
29,74,19,0.1,1,0.9,0
31,71,17,0.3,1,0.6,0
30,73,17,0.9,1,0.4,0
30,77,15,1,1,0.2,0
33,73,12,1.8,1,0.3,0
30,77,21,1.8,1,0.3,0
29,88,13,0,1,0.5,0
25,86,21,4.6,1,0,0
22,76,26,8.3,1,0.1,0
24,82,15,0.4,1,0,0
30,65,14,0,1,0.8,0
31,52,14,0,1,5.9,1
32,49,11,0,1,7.7,1
29,57,14,0,1,9.7,1
28,84,18,0,1,6.3,1
31,55,11,0,1,8.3,1
31,50,19,0.6,1,2.8,0
32,54,11,0.5,1,0.7,0
29,65,19,0.6,1,0.7,0
26,81,21,5.8,1,0.1,0
31,54,11,0,1,1.7,0
31,66,11,0,1,4.1,1
32,47,14,0.7,1,0.9,0
26,80,16,1.8,1,0.1,0
25,78,14,1.4,1,0.1,0
32,71,12,0.7,0,0.2,0
30,73,13,4,0,0.2,0
29,80,14,2,0,0.1,0
30,64,14,0,0,1,0
32,60,14,0.2,0,0.9,0
35,54,11,0.1,0,3.1,1
35,44,17,0.2,0,6,1
28,51,17,1.3,0,0.8,0
27,59,18,0.1,0,1.9,0
30,41,15,0,0,10,1
31,42,21,0,0,16.7,1
27,58,17,0,0,12.9,1
30,52,15,2,0,0.9,0
27,79,16,0.7,0,0.3,0
28,90,15,0,0,0.6,0
29,87,15,0.4,0,0.1,0
31,69,17,4.7,0,0.4,0
33,62,10,8.7,0,0.4,0
32,67,14,4.5,0,0.4,0
31,72,14,0.2,0,0.3,0
32,55,14,0,0,4.9,1
33,46,14,1.1,0,1.2,0
33,59,16,0.8,0,0.8,0
35,68,16,0,0,5.3,1
34,70,16,0,0,6.7,1
36,62,16,0,0,9.5,1
36,55,15,0,0,12,1
37,37,13,0,0,18.4,1
37,36,13,0.6,0,7.2,1
34,42,15,1.7,0,2.2,0
28,58,18,2.2,0,0.5,0
33,48,16,0,0,6.4,1
34,56,17,0.1,0,5.2,1
34,58,18,0,0,9.9,1
34,45,18,0,0,15,1
35,42,15,0.3,0,6.3,1
38,43,13,0.5,0,5.2,1
35,47,18,6,0,3,1
36,43,15,1.9,0,3.1,1
34,51,16,3.8,0,1.3,0
34,56,15,2.9,0,0.8,0
36,44,13,0,0,9.6,1
39,45,13,0.6,0,4.7,1
37,37,18,0.2,0,10.4,1
34,45,17,0,0,14.1,1
31,83,17,0,0,7.3,1
32,81,17,0,0,7.7,1
33,68,15,0,0,9.1,1
34,58,16,0,0,13,1
36,50,16,0,0,17.3,1
36,29,18,0,0,30,1
32,48,18,0,0,25.4,1
31,71,17,0,0,16.3,1
33,63,17,1.1,0,2.5,0
39,64,9,1.2,0,0.7,0
35,58,10,0.2,0,1,0
29,87,18,0,0,3.2,0
33,57,16,0,0,9,1
34,59,16,0,0,10.9,1
36,56,16,0,0,13.2,1
37,55,15,0,0,14.5,1
38,52,14,0,0,0.8,0
40,34,14,0,0,13.5,1
39,33,17,0,0,19.5,1
38,35,15,0,0,20.9,1
34,42,17,0.1,0,12.6,1
30,54,14,3.1,0,0.8,0
34,63,13,2.9,0,0.6,0
37,56,11,0,0,5.9,1
39,43,12,0,0,12.7,1
39,39,15,0.2,0,10.7,1
40,31,15,0,0,21.6,1
39,21,17,0.4,0,18.8,1
35,34,16,0.2,0,10.5,1
37,40,13,0,0,15.7,1
35,46,13,0.3,0,5.5,1
40,41,10,0.1,0,14.8,1
42,24,9,0,0,24,1
37,37,14,0,0,26.3,1
35,66,15,0.1,0,7.7,1
36,81,15,0,0,9,1
36,71,15,0,0,12.2,1
37,53,14,0,0,18.1,1
36,43,16,0,0,24.5,1
35,38,15,0,0,26.9,1
34,40,18,0,0,31.1,1
33,37,16,0,0,30.3,1
36,54,14,0,0,26.1,1
35,56,14,0.4,0,6.1,0
35,53,17,0.5,0,5.9,1
34,49,15,0,0,16,1
30,59,19,0,0,19.4,1
29,86,16,0,0,0,0
28,67,19,0,0,0.8,0
28,75,16,0,0,2.5,1
30,66,15,0.2,0,0.7,0
30,58,12,4.1,0,0.4,0
34,71,14,6.5,0,0.4,0
31,62,15,0,0,3.2,1
30,88,14,0,0,2.7,1
30,80,15,0,0,3.7,1
29,74,15,1.1,0,0.3,0
30,73,14,0,0,1.2,0
31,72,14,0,0,3.9,1
29,49,19,0,0,10.3,1
28,81,15,0,0,5.7,1
32,51,13,0,0,9.8,1
33,26,13,0,0,19.3,1
34,44,12,0,0,17.5,1
36,33,13,0.1,0,15.4,1
29,41,8,0.1,0,5.6,1
34,58,13,0.2,0,3.8,0
35,34,17,0,0,21.6,1
33,64,13,0,0,13.7,1
35,56,14,0,0,15.2,1
26,49,6,2,0,0.4,0
28,70,15,0,0,3,0
30,65,14,0,0,6.5,1
28,87,15,4.4,0,0,0
27,87,29,0.5,0,0.2,0
24,54,18,0.1,0,0.7,0
24,64,15,0.2,0,0.5,0
